initials;full-name;action-object
AV;Ace Ventura;summoning ... rhino
IJ;Indiana Jones;cracks his whip into ... a crystal skull
M;Munchkin;licking ... yellow brick
RM;Ronald McDonald; deep frying ... fries
L;Lincoln;assassinating ... penny
JC;Jesus Christ;Crucified ... on a cross
E;Exorcist;tied with rags to ... bed
F;Frankenstein;walking like Frankenstein, groaning, with bolts in neck ... a tombstone
BB;Big Bird;hatching from ... trashcan
ES;Edward Scissorhands;carving bush into (shape) ... bush
WW;Wicked witch;flying on ... broom
KK;King Kong;Beating his chest with (bananas) in his fists ... getting shot by flying by airplanes
D;Dork;tearing up ... tire
DL;The Dalai Lama;talking on ... telephone
DR;Dasch Rendar;dashing into ... digeridoo
D;Diglett;burrowing up and hits head on ... boulder
D;Dopey;tapdancing ... tophat
N;Ness;sticking up nose ... Nose
Y;Yuna;performs sending by waving ... her staff
M;Mario;Butt stomp ... green tube
R;Raichu;electrocuting ... a pokeball
L;Link;hookshotting ... bomb
C;Charizard;spitting ... fire
K;Kirby;inhaling ... boxing glove
F;Falcon;F-punching ... Racecar
L;Luigi;chasing after ... 1-up
PP;Princess Peach;trapped inside ... a cage
B;Bowser;stomping on ... a goomba
MC;Master Chief;lobbing ... plasma grenade
CA;Captain America;marking (drawing on with marker) ... marker
MD;Moby Dick;mopping ... map
R;Rosemary;rusting ... rose
A;Alvin;singing into ... a microphone
FF;Fred Flinstone;rolling a bowling ball into ... ten pins
W;Wilma;handing children from a box ... cigarettes
JB;Johny Bravo;surfing ... on a surf board
SD;Scooby Doo;Swallowing ... a sandwich
P;Porky;leaning casually, chewing on ... ham
V;Velma;inspecting ... a grasshopper
CB;Charlie Brown;tricked by ... the other P(football)
W;Waldo;surrounded by ... candycanes
A;Archer;pulling from tuxedo ... a pistol
MM;Mickey Mouse;steering ... a boat
U;Underdog;burying ... a bone
E;Elroy;leering at ... lure
A;Alice;growing to incredible size, holding a ... potion
L;Lego man;building from legos ... log
A;Alf;lifting ... leaf
MJ;Michael Jackson;licking ... a lollipop
O;Oprah;tripping into â€“ a chocolate icing ... wedding cake
SI;Steve Irwin;tackling and wrestling ... an alligator skin - alligator
PH;Paris Hilton;sucking on ... dick
G;Gallagher;taking sledge hammer to ... watermelon
GB;George Bush;urging forward ... tank
RS;Richard Simmons;pulling out of his ass ... a cherry.
MJ;Michael Jordan;dunking ... a basketball
E;Einstein;chalking on on ... a slate- chalkboard
G;Garfield;grinding ... apple core
K;Kyle;golf ... gold
JC;Johnny Cash;catching ... stack of cash
DV;Dark Vader;lightsabering ... foot
F;Furby;firing burning ... fur coat
BC;Bozo the clown;pissing on ... pssy
PS;Paulie Shore;pulling ( with rope) ... pill
P;Popeye;pops like a ballon ... baby
